"","d","p","q","RMSE","AIC"
"40",0,6,4,0.0898532567612075,-35411.228952689
"41",0,6,6,0.0899621124013338,-35409.1128188977
"42",0,6,7,0.0893822030219946,-35458.82187603
"43",0,7,0,0.0898002786323605,-35421.994711814
"44",0,7,1,0.0898609158675481,-35419.5605486659
"45",0,7,2,0.0897814407679849,-35420.3926787367
"46",0,7,3,0.0899488857672843,-35413.2254816725
"47",0,7,4,0.0896215696845213,-35459.8355481124
"48",0,7,5,0.0895933826858856,-35450.8079239086
"49",0,7,6,0.0897902108822083,-35455.6305977392
"50",0,7,7,0.0895806129719503,-35441.0572463426
"51",1,0,0,0.0898017228979592,-35385.8895715692
"52",1,0,1,0.0899117219207103,-35424.2164902302
"53",1,0,2,0.0899268365755955,-35429.9736105708
"54",1,0,3,0.0899267934261924,-35427.9736112328
"55",1,0,4,0.0899412836707955,-35426.0082658296
"56",1,0,5,0.0899705809142806,-35430.6407142432
"57",1,0,6,0.0899354373730935,-35428.904566731
"58",1,0,7,0.0899008828775881,-35427.3838200584
"59",1,1,0,0.0898996652006821,-35422.09252624
"60",1,1,1,0.0899550240231889,-35427.5277386397
"61",1,1,2,0.0899240303921886,-35427.9671241047
"62",1,1,3,0.089926935527371,-35425.973615739
"63",1,1,4,0.089935774238171,-35423.9871412047
"64",1,1,5,0.089966031248711,-35428.7092510293
"65",1,1,6,0.089937620110692,-35426.8832182215
"66",1,1,7,0.0898983042106678,-35425.4575567417
"67",1,2,0,0.0899187474772384,-35429.816503857
"68",1,2,1,0.0899229675405097,-35427.8918518129
"69",1,2,2,0.0899237993423848,-35425.9452859634
"70",1,2,3,0.0899307174280265,-35423.9818206166
"71",1,2,4,0.0899369066651328,-35421.9886708895
"72",1,2,5,0.0899646219061569,-35426.7655829355
"73",1,2,6,0.0899342769616439,-35424.9577922816
"74",1,2,7,0.0898960735250335,-35423.4770684936
"75",1,3,0,0.0899398173078093,-35428.0334511821
"76",1,3,1,0.0899390836052965,-35426.0363511065
"77",1,3,2,0.0899346165802072,-35424.0122162066
"78",1,3,3,0.0899908881091036,-35423.0186049488
"79",1,3,4,0.0899503103663824,-35423.4164153547
"80",1,3,5,0.0895256933285999,-35461.380026725
"81",1,3,6,0.0895263958791003,-35460.1774921181
"82",1,3,7,0.0896049477379816,-35462.6240027935
"83",1,4,0,0.0899270968445448,-35426.0687955314
"84",1,4,1,0.0899319067773082,-35424.0469758094
"85",1,4,2,0.0899300357726322,-35422.0163850805
"86",1,4,3,0.090037287613873,-35425.558838495
"87",1,4,4,0.0897451483681003,-35463.0859074969
"88",1,4,5,0.0895955619684378,-35461.3113787408
"89",1,4,6,0.0896154108431255,-35459.436005469
"90",1,4,7,0.0896161675301856,-35461.0234081907
"91",1,5,0,0.0899357946232689,-35430.5149135373
"92",1,5,1,0.0899408844105332,-35428.4932393107
"93",1,5,2,0.0899426938095822,-35426.4483224361
"94",1,5,3,0.0895045994384877,-35461.2186150546
"95",1,5,4,0.0896058311796976,-35461.4527308988
"96",1,5,5,0.08956465496733,-35461.1068004366
"97",1,5,6,0.0900363640001542,-35425.2007129432
"98",1,5,7,0.0896494542185487,-35456.3910223126
"99",1,6,0,0.0899293014416995,-35428.5240889661
"100",1,6,1,0.0899277434795315,-35426.5282548311
"101",1,6,2,0.0899316827191633,-35424.4736677902
"102",1,6,3,0.0895272567060414,-35460.9786566763
"103",1,6,4,0.0896064630579959,-35459.4494007245
"104",1,6,5,0.0900414520401306,-35424.6200341967
"105",1,6,6,0.0897126271053721,-35455.2468513499
"106",1,6,7,0.0896456107141848,-35454.8355059932
"107",1,7,0,0.0898768526594825,-35427.0893432128
"108",1,7,1,0.0898804964765528,-35425.0104910131
"109",1,7,2,0.0898831788071085,-35423.0125567424
"110",1,7,3,0.0895859717730949,-35462.5884335172
"111",1,7,4,0.0895986363979949,-35460.9621748934
"112",1,7,5,0.0896727542882133,-35457.9628452056
"113",1,7,6,0.0896591002048478,-35453.924378947
"114",1,7,7,0.0895063594825008,-35454.5774670863
"115",2,0,0,0.126523782623323,-27338.4411911397
"116",2,0,1,0.0898452623595092,-35371.6724152327
"117",2,0,2,0.0899509153492089,-35410.0015164542
"118",2,0,3,0.089967866223365,-35415.7564275492
"119",2,0,4,0.0899674192833907,-35413.7559809265
"120",2,0,5,0.0899813416278317,-35411.7907781355
"121",2,0,6,0.0900119947896367,-35416.4219179822
"122",2,0,7,0.0899769750036368,-35414.6856456127
"123",2,1,0,0.110237183231392,-30309.2958583265
"124",2,1,1,0.089938870363066,-35407.877555189
"125",2,1,2,0.0899673981186285,-35414.2609410034
"126",2,1,3,0.0899640677052283,-35412.1116416826
"127",2,1,4,0.0899678443646833,-35411.8866485107
"128",2,1,5,0.0900532313446202,-35410.7144228634
"129",2,1,6,0.0900645203180549,-35412.6624244218
"130",2,1,7,0.0899732733969517,-35412.7240642607
"131",2,2,0,0.105251133736453,-31819.3891218996
"132",2,2,1,0.0899600132237346,-35415.5992875583
"133",2,2,2,0.0899778414261872,-35413.3358990565
"134",2,2,3,0.0900148712231193,-35412.7751594254
"135",2,2,4,0.0900024423994574,-35410.5433686538
"136",2,2,5,0.0900639317025642,-35409.0795245085
"137",2,2,6,0.0900836600731894,-35410.3508855451
"138",2,2,7,0.0899614002277658,-35410.4245353705
"139",2,3,0,0.103014732373724,-32612.9390086237
"140",2,3,1,0.0899807479961168,-35413.8163640748
"141",2,3,2,0.0899601311747065,-35411.6004114944
"142",2,3,3,0.0899935185097228,-35410.3104472756
"143",2,3,4,0.0901078962506756,-35409.9590999735
"144",2,3,5,0.0901155655475643,-35408.9023858097
"145",2,3,6,0.0900019052303561,-35411.1245831307
"146",2,3,7,0.0899411705793826,-35416.7780024634
"147",2,4,0,0.100317273961638,-33033.6845392574
"148",2,4,1,0.0899681750680827,-35411.8516144773
"149",2,4,2,0.090038835672768,-35410.3921749089
"150",2,4,3,0.0900516320184278,-35408.8233399975
"151",2,4,4,0.0900564201903455,-35406.2387165764
"152",2,4,5,0.0897405420141097,-35445.8312417387
"153",2,4,6,0.0900675720294299,-35406.6169077138
"154",2,4,7,0.0896484423814714,-35444.9364009261
"155",2,5,0,0.0996193585471237,-33410.9132041941
"156",2,5,1,0.0899785852192482,-35416.2964107106
"157",2,5,2,0.0900515466011643,-35412.9339739245
"158",2,5,3,0.0900661305055667,-35410.6482936963
"159",2,5,4,0.0899647533775656,-35412.0456312835
"160",2,5,5,0.0897106010649366,-35446.6567645029
"161",2,5,6,0.0899868306409401,-35405.1880721303
"162",2,5,7,0.0900376724966917,-35412.0042156129
"163",2,6,0,0.0968219434564849,-33708.7931559485
"164",2,6,1,0.0899720224446627,-35414.3055594937
"165",2,6,2,0.0899663380413964,-35412.3187214339
"166",2,6,3,0.0899570723887796,-35410.1877165957
"167",2,6,4,0.0895730915810229,-35446.778390487
"168",2,6,5,0.0896338727410378,-35444.8414513868
"169",2,6,6,0.09003916421634,-35413.3869009745
"170",2,6,7,0.0901623534389544,-35410.7854194807
"171",2,7,0,0.0958623251723324,-33963.9089919447
"172",2,7,1,0.0899191705261326,-35412.8710643142
"173",2,7,2,0.0899660608520018,-35410.3247905318
"174",2,7,3,0.0899649373705134,-35408.3672360413
"175",2,7,4,0.0898436496765184,-35413.8345945542
"176",2,7,5,0.0898374695370917,-35437.4986904
"177",2,7,6,0.0899912686258835,-35411.0136900909
"178",2,7,7,0.0900869200817343,-35406.9789974252
"179",3,0,0,0.218445643957538,-13815.1255887601
"180",3,0,1,0.126528757714257,-27323.8331795102
"181",3,0,2,0.090167967636862,-35282.0115375568
"182",3,0,3,0.0915869207872512,-35117.6532131833
"183",3,0,4,0.0906637950544134,-35230.2235148291
"184",3,0,5,0.0907690289855862,-35203.3055530514
"185",3,0,6,0.0914175664616733,-35183.2628825826
"186",3,0,7,0.0931470638882426,-34659.4971529398
"187",3,1,0,0.162352080855928,-20413.2035581565
"188",3,1,1,0.110241559727433,-30293.6988582676
"189",3,1,2,0.0922051083163286,-34710.0189518582
"190",3,1,3,0.0901378064340406,-35290.8733185539
"191",3,1,4,0.0909336526608005,-35222.7537077377
"192",3,1,5,0.090643996749689,-35239.9429819802
"193",3,1,6,0.0906903060527763,-35190.5392560538
"194",3,1,7,0.0910893322055739,-35194.7987583014
"195",3,2,0,0.141326155765536,-23951.0557658001
"196",3,2,1,0.10525455090574,-31803.0934942896
"197",3,2,3,0.0905236429884332,-35235.3123595233
"198",3,2,4,0.0907579387459836,-35222.2016240013
