"","da","pa","qa","pg","qg","RMSE","AIC"
"41",0,0,3,2,3,0.809857509744157,-0.37389519951325
"42",0,0,3,3,0,0.809113681215499,-0.371476783554602
"43",0,0,3,3,1,0.818236894670863,-0.376875001293627
"44",0,0,3,3,2,0.818237488694711,-0.376716734577652
"45",0,0,3,3,3,0.808614680860861,-0.40712565639541
"46",0,0,4,0,1,0.458509998040702,-0.090498499683454
"47",0,0,4,0,2,0.458530106598349,-0.0903388404255394
"48",0,0,4,0,3,0.458490580049154,-0.0901796509836948
"49",0,0,4,1,0,0.673595686844055,-0.445182952535335
"50",0,0,4,1,1,0.585261800714061,-0.835368557358963
"51",0,0,4,1,2,0.585261561567221,-0.835210307618674
"52",0,0,4,1,3,0.585261667463415,-0.835052041540188
"53",0,0,4,2,0,0.598416076069178,-0.705698649990587
"54",0,0,4,2,1,0.584216880112002,-0.848152152698868
"55",0,0,4,2,2,0.584216687618032,-0.847993883986707
"56",0,0,4,2,3,0.584216843847566,-0.847835620031419
"57",0,0,4,3,0,0.589682725243633,-0.811433972907526
"58",0,0,4,3,1,0.587938542504142,-0.85121349040294
"59",0,0,4,3,2,0.587708276755453,-0.851536581231368
"60",0,0,4,3,3,0.587054503563763,-0.855080767668453
"61",0,0,5,0,1,0.35884380916651,-0.528943545687695
"62",0,0,5,0,2,0.358833610510191,-0.528784015531759
"63",0,0,5,0,3,0.358845892088545,-0.528626688308901
"64",0,0,5,1,0,0.530843276069431,-0.736405949576656
"65",0,0,5,1,1,0.445648588921764,-1.18313967602885
"66",0,0,5,1,2,0.44564843287596,-1.18298141109742
"67",0,0,5,1,3,0.445649099782012,-1.18282314539925
"68",0,0,5,2,0,0.468319093131723,-1.00569343888436
"69",0,0,5,2,1,0.446020076003322,-1.18843001564129
"70",0,0,5,2,2,0.446019677385263,-1.18827174825208
"71",0,0,5,2,3,0.446020462478985,-1.1881134836724
"72",0,0,5,3,0,0.453277120701009,-1.11841292265651
"73",0,0,5,3,1,0.446513227018375,-1.19262553054948
"74",0,0,5,3,2,0.446342948746977,-1.19255636037613
"75",0,0,5,3,3,0.445810186094478,-1.19330384661783
"76",0,0,6,0,1,0.289172702181759,-0.861528520379139
"77",0,0,6,0,2,0.289183305395625,-0.861369492145533
"78",0,0,6,0,3,0.289182765555325,-0.861211544533209
"79",0,0,6,1,0,0.390851922388903,-0.997941008845601
"80",0,0,6,1,1,0.356982393387142,-1.4729990194911
"81",0,0,6,1,2,0.356983953415797,-1.47284075251976
"82",0,0,6,1,3,0.356982689267865,-1.47268248573625
"83",0,0,6,2,0,0.389115578673098,-1.2368336945611
"84",0,0,6,2,1,0.358459744808341,-1.477426384196
"85",0,0,6,2,2,0.358458069179732,-1.47726816256124
"86",0,0,6,2,3,0.358457895778287,-1.47710989206991
"87",0,0,6,3,0,0.370670300999041,-1.37530118513717
"88",0,0,6,3,1,0.358370607222382,-1.48230287038909
"89",0,0,6,3,2,0.358254209566202,-1.48217808154873
"90",0,0,6,3,3,0.357741908024205,-1.48245093104202
"91",0,0,7,0,1,0.255689977743391,-1.13070896575654
"92",0,0,7,0,2,0.255686526784466,-1.13054874415265
"93",0,0,7,0,3,0.255689499085523,-1.13039082708771
"94",0,0,7,1,0,0.286302684741343,-1.23870494972844
"95",0,0,7,1,1,0.308427640973938,-1.69668594247358
"96",0,0,7,1,2,0.308427523522106,-1.69652767473738
"97",0,0,7,1,3,0.308427739031158,-1.69636940699854
"98",0,0,7,2,0,0.332720928004068,-1.45074275709727
"99",0,0,7,2,1,0.309481926870948,-1.6985045610231
"100",0,0,7,2,2,0.308330344331662,-1.69787222818161
"101",0,0,7,2,3,0.308329903441975,-1.69771396210914
"102",0,0,7,3,0,0.317295300175687,-1.57328557639117
"103",0,0,7,3,1,0.309421280220672,-1.70268826527418
"104",0,0,7,3,2,0.309418232340023,-1.70253000385362
"105",0,0,7,3,3,0.309267800069042,-1.70246888529342
"106",0,1,0,0,1,0.0896829218687056,-2.79175561904536
"107",0,1,0,0,2,0.089678328032296,-2.79158257278288
